dept_no,dept_name,emp_no,emp_from_date,emp_to_date,manager_no,birth_date,employee_name,salary,salary_from_date,salary_to_date,title,title_from_date,title_to_date,gender
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",60117,1986-06-26,1987-06-26,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",62102,1987-06-26,1988-06-25,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",66074,1988-06-25,1989-06-25,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",66596,1989-06-25,1990-06-25,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",66961,1990-06-25,1991-06-25,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",71046,1991-06-25,1992-06-24,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",74333,1992-06-24,1993-06-24,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",75286,1993-06-24,1994-06-24,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",75994,1994-06-24,1995-06-24,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",76884,1995-06-24,1996-06-23,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",80013,1996-06-23,1997-06-23,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",81025,1997-06-23,1998-06-23,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",81097,1998-06-23,1999-06-23,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",84917,1999-06-23,2000-06-22,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",85112,2000-06-22,2001-06-22,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",85097,2001-06-22,2002-06-22,"Senior Engineer",1986-06-26,9999-01-01,NULL
d005,Development,10001,1986-06-26,9999-01-01,110022,1953-09-02,"Georgi Facello",88958,2002-06-22,9999-01-01,"Senior Engineer",1986-06-26,9999-01-01,NULL
d007,Sales,10002,1996-08-03,9999-01-01,110022,1964-06-02,"Bezalel Simmel",65828,1996-08-03,1997-08-03,Staff,1996-08-03,9999-01-01,NULL
d007,Sales,10002,1996-08-03,9999-01-01,110022,1964-06-02,"Bezalel Simmel",65909,1997-08-03,1998-08-03,Staff,1996-08-03,9999-01-01,NULL
d007,Sales,10002,1996-08-03,9999-01-01,110022,1964-06-02,"Bezalel Simmel",67534,1998-08-03,1999-08-03,Staff,1996-08-03,9999-01-01,NULL
d007,Sales,10002,1996-08-03,9999-01-01,110022,1964-06-02,"Bezalel Simmel",69366,1999-08-03,2000-08-02,Staff,1996-08-03,9999-01-01,NULL
d007,Sales,10002,1996-08-03,9999-01-01,110022,1964-06-02,"Bezalel Simmel",71963,2000-08-02,2001-08-02,Staff,1996-08-03,9999-01-01,NULL
d007,Sales,10002,1996-08-03,9999-01-01,110022,1964-06-02,"Bezalel Simmel",72527,2001-08-02,9999-01-01,Staff,1996-08-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",40006,1995-12-03,1996-12-02,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",43616,1996-12-02,1997-12-02,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",43466,1997-12-02,1998-12-02,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",43636,1998-12-02,1999-12-02,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",43478,1999-12-02,2000-12-01,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",43699,2000-12-01,2001-12-01,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10003,1995-12-03,9999-01-01,110022,1959-12-03,"Parto Bamford",43311,2001-12-01,9999-01-01,"Senior Engineer",1995-12-03,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",40054,1986-12-01,1987-12-01,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",42283,1987-12-01,1988-11-30,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",42542,1988-11-30,1989-11-30,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",46065,1989-11-30,1990-11-30,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",48271,1990-11-30,1991-11-30,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",50594,1991-11-30,1992-11-29,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",52119,1992-11-29,1993-11-29,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",54693,1993-11-29,1994-11-29,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",58326,1994-11-29,1995-11-29,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",60770,1995-11-29,1996-11-28,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",62566,1996-11-28,1997-11-28,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",64340,1997-11-28,1998-11-28,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",67096,1998-11-28,1999-11-28,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",69722,1999-11-28,2000-11-27,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",70698,2000-11-27,2001-11-27,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",74057,2001-11-27,9999-01-01,Engineer,1986-12-01,1995-12-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",40054,1986-12-01,1987-12-01,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",42283,1987-12-01,1988-11-30,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",42542,1988-11-30,1989-11-30,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",46065,1989-11-30,1990-11-30,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",48271,1990-11-30,1991-11-30,"Senior Engineer",1995-12-01,9999-01-01,NULL
d004,Production,10004,1986-12-01,9999-01-01,110022,1954-05-01,"Chirstian Koblick",50594,1991-11-30,1992-11-29,"Senior Engineer",1995-12-01,9999-01-01,NULL
